
이 리포지토리는 한국수출입은행 API를 사용하여 환율 정보를 자동으로 업데이트합니다.

## 현재 환율

| 국가/통화명 | 전신환(송금)받으실때 | 전신환(송금)보내실때 |
|------------|------------------|------------------|
| 아랍에미리트 디르함 | 390.3 | 398.19 |
| 호주 달러 | 915.08 | 933.57 |
| 바레인 디나르 | 3,802.63 | 3,879.46 |
| 브루나이 달러 | 1,077.63 | 1,099.4 |
| 캐나다 달러 | 1,002.81 | 1,023.06 |
| 스위스 프랑 | 1,626.68 | 1,659.55 |
| 위안화 | 198.1 | 202.11 |
| 덴마아크 크로네 | 209.81 | 214.04 |
| 유로 | 1,565.32 | 1,596.95 |
| 영국 파운드 | 1,861.64 | 1,899.25 |
| 홍콩 달러 | 184.5 | 188.23 |
| 인도네시아 루피아 | 8.74 | 8.91 |
| 일본 옌 | 959.67 | 979.06 |
| 한국 원 | 0 | 0 |
| 쿠웨이트 디나르 | 4,653.68 | 4,747.69 |
| 말레이지아 링기트 | 322.5 | 329.01 |
| 노르웨이 크로네 | 135.96 | 138.71 |
| 뉴질랜드 달러 | 834.8 | 851.67 |
| 사우디 리얄 | 382.21 | 389.94 |
| 스웨덴 크로나 | 141.98 | 144.85 |
| 싱가포르 달러 | 1,077.63 | 1,099.4 |
| 태국 바트 | 42.66 | 43.53 |
| 미국 달러 | 1,433.52 | 1,462.48 |

:hourglass_flowing_sand: 업데이트 시간: 2025-03-18 03:15:03 (UTC)

---
자동 업데이트 봇에 의해 관리됩니다.
